user_id,orders_30d,avg_order_value,last_order_date,segment,segment_month
U000011,2,1027.45,2024-01-30,casual,2024-01-01
U000101,1,673.59,2024-01-23,casual,2024-01-01
U000133,1,547.99,2024-01-25,casual,2024-01-01
U000234,1,1100.29,2024-01-25,casual,2024-01-01
U000291,1,743.73,2024-01-29,casual,2024-01-01
U000437,2,638.56,2024-01-30,casual,2024-01-01
U000483,1,1001.86,2024-01-20,casual,2024-01-01
U000498,2,970.0250000000001,2024-01-23,casual,2024-01-01
U000558,1,277.41,2024-01-15,casual,2024-01-01
U000617,1,727.43,2024-01-22,casual,2024-01-01
U000677,1,283.13,2024-01-15,casual,2024-01-01
U000751,1,458.02,2024-01-30,casual,2024-01-01
U000795,3,659.9233333333334,2024-01-27,casual,2024-01-01
U000819,1,781.55,2024-01-29,casual,2024-01-01
U000857,2,854.2850000000001,2024-01-16,casual,2024-01-01
U000926,2,637.63,2024-01-29,casual,2024-01-01
U000961,1,1033.92,2024-01-23,casual,2024-01-01
U000963,1,1095.04,2024-01-27,casual,2024-01-01
U000983,1,410.52,2024-01-12,casual,2024-01-01
U001169,1,1037.87,2024-01-20,casual,2024-01-01
U001189,1,1079.29,2024-01-09,casual,2024-01-01
U001202,1,492.29,2024-01-30,casual,2024-01-01
U001230,1,1192.67,2024-01-17,casual,2024-01-01
U001388,1,1140.96,2024-01-28,casual,2024-01-01
U001392,2,645.96,2024-01-29,casual,2024-01-01
U001412,1,419.91,2024-01-19,casual,2024-01-01
U001463,1,749.67,2024-01-21,casual,2024-01-01
U001598,2,638.46,2024-01-23,casual,2024-01-01
U001619,1,564.26,2024-01-26,casual,2024-01-01
U001638,1,723.5,2024-01-21,casual,2024-01-01
U001697,2,307.71500000000003,2024-01-26,casual,2024-01-01
U001724,1,429.58,2024-01-21,casual,2024-01-01
U001789,1,883.81,2024-01-29,casual,2024-01-01
U001891,1,120.35,2024-01-28,casual,2024-01-01
U001970,1,1039.02,2024-01-21,casual,2024-01-01
U001977,1,942.41,2024-01-29,casual,2024-01-01
U001986,1,1143.85,2024-01-19,casual,2024-01-01
U001987,1,964.07,2024-01-27,casual,2024-01-01
U002001,1,855.81,2024-01-26,casual,2024-01-01
U002012,1,810.91,2024-01-18,casual,2024-01-01
U002070,1,706.94,2024-01-23,casual,2024-01-01
U002077,1,183.14,2024-01-20,casual,2024-01-01
U002090,1,1027.15,2024-01-26,casual,2024-01-01
U002117,1,287.73,2024-01-29,casual,2024-01-01
U002160,1,1051.94,2024-01-23,casual,2024-01-01
U002179,1,826.58,2024-01-10,casual,2024-01-01
U002286,1,1075.51,2024-01-27,casual,2024-01-01
U002392,1,845.41,2024-01-19,casual,2024-01-01
U002402,1,1104.84,2024-01-25,casual,2024-01-01
U002434,2,621.225,2024-01-28,casual,2024-01-01
U002581,1,167.88,2024-01-22,casual,2024-01-01
U002618,1,253.68,2024-01-16,casual,2024-01-01
U002670,2,708.765,2024-01-16,casual,2024-01-01
U002768,1,851.73,2024-01-20,casual,2024-01-01
U002777,2,690.2349999999999,2024-01-29,casual,2024-01-01
U002895,1,381.84,2024-01-19,casual,2024-01-01
U002908,1,130.49,2024-01-27,casual,2024-01-01
U003039,4,478.2325,2024-01-27,regular,2024-01-01
U003067,4,628.1625,2024-01-24,regular,2024-01-01
U003088,1,188.11,2024-01-27,casual,2024-01-01
U003128,2,231.875,2024-01-23,casual,2024-01-01
U003158,3,286.81,2024-01-30,casual,2024-01-01
U003175,1,1134.37,2024-01-29,casual,2024-01-01
U003234,1,136.89,2024-01-06,casual,2024-01-01
U003356,1,1212.26,2024-01-28,casual,2024-01-01
U003402,2,636.75,2024-01-23,casual,2024-01-01
U003483,1,1020.86,2024-01-30,casual,2024-01-01
U003504,1,204.06,2024-01-16,casual,2024-01-01
U003525,1,853.52,2024-01-30,casual,2024-01-01
U003555,1,1113.89,2024-01-24,casual,2024-01-01
U003632,1,583.63,2024-01-14,casual,2024-01-01
U003682,1,860.96,2024-01-13,casual,2024-01-01
U003708,1,544.06,2024-01-17,casual,2024-01-01
U003763,1,1153.48,2024-01-23,casual,2024-01-01
U003795,2,789.4,2024-01-27,casual,2024-01-01
U003856,3,651.67,2024-01-28,casual,2024-01-01
U003872,1,1103.76,2024-01-28,casual,2024-01-01
U003918,2,986.685,2024-01-25,casual,2024-01-01
U003936,1,1094.99,2024-01-23,casual,2024-01-01
U004032,1,753.34,2024-01-17,casual,2024-01-01
U004058,2,667.885,2024-01-28,casual,2024-01-01
U004098,2,484.945,2024-01-22,casual,2024-01-01
U004136,2,601.865,2024-01-30,casual,2024-01-01
U004289,1,1139.65,2024-01-23,casual,2024-01-01
U004313,1,631.82,2024-01-30,casual,2024-01-01
U004345,1,622.66,2024-01-28,casual,2024-01-01
U004421,1,1092.91,2024-01-28,casual,2024-01-01
U004487,2,926.29,2024-01-20,casual,2024-01-01
U004513,1,509.1,2024-01-30,casual,2024-01-01
U004530,2,584.73,2024-01-16,casual,2024-01-01
U004576,1,713.92,2024-01-16,casual,2024-01-01
U004578,2,751.79,2024-01-26,casual,2024-01-01
U004648,1,804.19,2024-01-10,casual,2024-01-01
U004743,1,386.14,2024-01-04,casual,2024-01-01
U004748,2,439.715,2024-01-17,casual,2024-01-01
U004768,1,1144.05,2024-01-20,casual,2024-01-01
U004791,2,728.54,2024-01-22,casual,2024-01-01
U004804,2,494.12,2024-01-25,casual,2024-01-01
U004868,2,603.5,2024-01-15,casual,2024-01-01
U004899,3,558.43,2024-01-27,casual,2024-01-01
U004995,3,693.14,2024-01-28,casual,2024-01-01
U005015,1,382.97,2024-01-20,casual,2024-01-01
U005051,1,721.8,2024-01-25,casual,2024-01-01
U005091,2,828.545,2024-01-27,casual,2024-01-01
U005167,1,937.17,2024-01-15,casual,2024-01-01
U005236,3,627.7133333333333,2024-01-23,casual,2024-01-01
U005245,1,798.9,2024-01-28,casual,2024-01-01
U005302,1,644.69,2024-01-19,casual,2024-01-01
U005311,2,181.14,2024-01-27,casual,2024-01-01
U005325,1,920.83,2024-01-25,casual,2024-01-01
U005347,1,627.93,2024-01-20,casual,2024-01-01
U005414,3,847.9166666666666,2024-01-22,casual,2024-01-01
U005415,3,597.8366666666667,2024-01-23,casual,2024-01-01
U005421,1,931.83,2024-01-22,casual,2024-01-01
U005445,1,522.86,2024-01-23,casual,2024-01-01
U005463,1,1193.63,2024-01-26,casual,2024-01-01
U005515,1,404.97,2024-01-19,casual,2024-01-01
U005640,2,696.7950000000001,2024-01-18,casual,2024-01-01
U005691,1,418.39,2024-01-30,casual,2024-01-01
