user_id,signup_date,city,device_type,channel,age_bucket
U000001,2024-06-12,Pune,ios,organic,18-24
U000002,2024-01-29,Bangalore,android,referral,25-34
U000003,2024-01-07,Delhi,android,social,18-24
U000004,2024-03-11,Chennai,android,social,25-34
U000005,2024-03-03,Mumbai,android,social,18-24
U000006,2024-02-27,Bangalore,ios,email,18-24
U000007,2024-02-05,Delhi,ios,email,25-34
U000008,2024-01-27,Hyderabad,ios,paid_google,35-44
U000009,2024-06-22,Mumbai,android,paid_google,25-34
U000010,2024-05-19,Mumbai,android,paid_google,18-24
U000011,2024-01-23,Jaipur,android,referral,18-24
U000012,2024-05-31,Bangalore,ios,organic,18-24
U000013,2024-04-18,Hyderabad,android,social,18-24
U000014,2024-01-09,Hyderabad,android,organic,18-24
U000015,2024-01-08,Delhi,android,email,18-24
U000016,2024-01-24,Chennai,ios,organic,25-34
U000017,2024-02-25,Mumbai,android,referral,35-44
U000018,2024-02-29,Chennai,android,paid_google,35-44
U000019,2024-05-09,Hyderabad,android,referral,18-24
U000020,2024-06-03,Mumbai,android,paid_google,18-24
U000021,2024-01-07,Mumbai,ios,organic,25-34
U000022,2024-05-23,Chennai,android,email,25-34
U000023,2024-02-20,Bangalore,ios,paid_google,45+
U000024,2024-06-15,Hyderabad,ios,paid_google,25-34
U000025,2024-06-28,Delhi,android,referral,18-24
U000026,2024-05-19,Chennai,android,organic,18-24
U000027,2024-04-17,Mumbai,android,organic,45+
U000028,2024-02-26,Hyderabad,web,social,18-24
U000029,2024-04-24,Delhi,android,email,18-24
U000030,2024-05-30,Mumbai,android,email,18-24
U000031,2024-03-12,Hyderabad,ios,social,25-34
U000032,2024-01-02,Mumbai,android,referral,25-34
U000033,2024-02-10,Pune,ios,organic,35-44
U000034,2024-06-27,Hyderabad,ios,organic,25-34
U000035,2024-04-18,Pune,web,organic,25-34
U000036,2024-03-28,Mumbai,android,paid_google,35-44
U000037,2024-03-12,Delhi,android,paid_google,25-34
U000038,2024-02-09,Bangalore,web,referral,25-34
U000039,2024-02-25,Mumbai,web,organic,35-44
U000040,2024-03-27,Bangalore,android,organic,25-34
U000041,2024-01-27,Hyderabad,android,organic,25-34
U000042,2024-01-24,Hyderabad,android,organic,25-34
U000043,2024-04-07,Delhi,ios,social,25-34
U000044,2024-01-25,Chennai,ios,organic,18-24
U000045,2024-04-01,Bangalore,android,social,25-34
U000046,2024-03-29,Bangalore,android,organic,35-44
U000047,2024-06-03,Mumbai,android,paid_google,35-44
U000048,2024-03-08,Bangalore,android,organic,25-34
U000049,2024-01-12,Hyderabad,android,referral,18-24
U000050,2024-04-27,Chennai,android,organic,25-34
